tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,34893,7321,9007042,145291,2017-08-01 16:23:56
892177421306343426,30220,5468,9007042,145291,2017-08-01 00:17:27
891815181378084864,22744,3614,9007042,145291,2017-07-31 00:18:03
891689557279858688,38172,7516,9007042,145291,2017-07-30 15:58:51
891327558926688256,36428,8071,9007042,145291,2017-07-29 16:00:24
891087950875897856,18383,2708,9007042,145291,2017-07-29 00:08:17
890971913173991426,10695,1750,9007042,145291,2017-07-28 16:27:12
890729181411237888,58770,16426,9007042,145291,2017-07-28 00:22:40
890609185150312448,25301,3756,9007042,145291,2017-07-27 16:25:51
890240255349198849,28866,6347,9007042,145291,2017-07-26 15:59:51
890006608113172480,27850,6384,9007042,145291,2017-07-26 00:31:25
889880896479866881,25319,4328,9007042,145291,2017-07-25 16:11:53
889665388333682689,43446,8693,9007042,145291,2017-07-25 01:55:32
889638837579907072,24397,3882,9007402,145293,2017-07-25 00:10:02
889531135344209921,13762,1960,9007042,145291,2017-07-24 17:02:04
889278841981685760,22805,4627,9007042,145291,2017-07-24 00:19:32
888917238123831296,26400,3896,9007043,145291,2017-07-23 00:22:39
888804989199671297,23163,3692,9007043,145291,2017-07-22 16:56:37
888554962724278272,17862,2999,9007043,145291,2017-07-22 00:23:06
888078434458587136,19756,3025,9007043,145291,2017-07-20 16:49:33
887705289381826560,27474,4700,9007043,145291,2017-07-19 16:06:48
887517139158093824,42022,10226,9007043,145291,2017-07-19 03:39:09
887473957103951883,62152,15638,9007043,145291,2017-07-19 00:47:34
887343217045368832,30505,9167,9007043,145291,2017-07-18 16:08:03
887101392804085760,27806,5191,9007043,145291,2017-07-18 00:07:08
886983233522544640,31489,6641,9007043,145291,2017-07-17 16:17:36
886736880519319552,10823,2757,9007043,145291,2017-07-16 23:58:41
886680336477933568,20381,3897,9007043,145291,2017-07-16 20:14:00
886366144734445568,19139,2749,9007043,145291,2017-07-15 23:25:31
886267009285017600,107,3,9007043,145291,2017-07-15 16:51:35
886258384151887873,25347,5499,9007043,145291,2017-07-15 16:17:19
886054160059072513,0,96,9007043,145291,2017-07-15 02:45:48
885984800019947520,29527,5844,9007043,145291,2017-07-14 22:10:11
885528943205470208,32581,5561,9007043,145291,2017-07-13 15:58:47
885518971528720385,18572,3247,9007043,145291,2017-07-13 15:19:09
885311592912609280,0,16068,9007043,145291,2017-07-13 01:35:06
885167619883638784,19833,3805,9007043,145291,2017-07-12 16:03:00
884925521741709313,69623,15689,9007043,145291,2017-07-12 00:01:00
884876753390489601,25200,4860,9007043,145291,2017-07-11 20:47:12
884562892145688576,22020,4081,9007043,145291,2017-07-11 00:00:02
884441805382717440,24605,4962,9007043,145291,2017-07-10 15:58:53
